Date,Rev
2014-09-03,981
2014-09-04,-622
2014-09-05,1430
2014-09-06,-3704
2014-09-07,2055
2014-09-08,-387
2014-09-09,769
2014-09-10,2182
2014-09-11,430
2014-09-12,-1049
2014-09-13,7566
2014-09-14,-1141
2014-09-15,400
2014-09-16,1055
2014-09-17,319
2014-09-18,737
2014-09-19,-951
2014-09-20,604
2014-09-21,-840
2014-09-22,-1346
2014-09-23,697
2014-09-24,-1908
2014-09-25,-2679
2014-09-26,-1853
2014-09-27,-4419
2014-09-28,626
2014-09-29,2392
2014-09-30,-3660
2014-10-01,4309
2014-10-02,1170
2014-10-03,325
2014-10-04,350
2014-10-05,1664
2014-10-06,851
2014-10-07,-3586
2014-10-08,965
2014-10-09,2076
2014-10-10,-155
2014-10-11,-8554
2014-10-12,3556
2014-10-13,1204
2014-10-14,-1874
2014-10-15,2880
2014-10-16,333
2014-10-17,774
2014-10-18,338
2014-10-19,666
2014-10-20,1612
2014-10-21,-1366
2014-10-22,2496
2014-10-23,1355
2014-10-24,1604
2014-10-25,311
2014-10-26,-3433
2014-10-27,-1347
2014-10-28,1489
2014-10-29,7922
2014-10-30,972
2014-11-01,2066
2014-11-02,1800
2014-11-03,-6740
2014-11-04,4297
2014-11-05,-776
2014-11-06,-395
2014-11-07,679
2014-11-08,-1293
2014-11-09,-1863
2014-11-10,-1301
2014-11-11,14844
2014-11-12,-1297
2014-11-13,389
2014-11-14,840
2014-11-15,-1245
2014-11-16,269
2014-11-17,4281
2014-11-18,718
2014-11-19,1528
2014-11-20,-978
2014-11-21,2287
2014-11-22,1431
2014-11-23,1422
2014-11-24,-623
2014-11-25,-782
2014-11-26,6664
2014-11-27,977
2014-11-28,7812
2014-11-29,-4880
2014-11-30,1658
2014-12-01,1664
2014-12-02,1459
2014-12-03,2683
2014-12-04,-719
2014-12-05,2240
2014-12-06,522
2014-12-07,8612
2014-12-08,1913
2014-12-09,-920
2014-12-10,487
2014-12-11,852
2014-12-12,-1416
2014-12-13,3247
2014-12-14,1570
2014-12-15,529
2014-12-16,1255
2014-12-17,855
2014-12-18,1912
2014-12-19,715
2014-12-20,823
2014-12-21,-1710
2014-12-22,679
2014-12-23,929
2014-12-24,6679
2014-12-25,673
2014-12-26,-5498
2014-12-27,5299
2014-12-28,-974
2014-12-29,1538
2014-12-30,-1508
2015-01-01,5689
2015-01-02,1392
2015-01-03,-4627
2015-01-04,2017
2015-01-05,2990
2015-01-06,677
2015-01-07,-738
2015-01-08,-873
2015-01-09,-5872
2015-01-10,615
2015-01-11,1916
2015-01-12,-965
2015-01-13,1177
2015-01-14,-1353
2015-01-15,-4329
2015-01-16,4038
2015-01-17,498
2015-01-18,6358
2015-01-19,17280
2015-01-20,1264
2015-01-21,1546
2015-01-22,1416
2015-01-23,-745
2015-01-24,-1040
2015-01-25,1500
2015-01-26,13875
2015-01-27,-1277
2015-01-28,3078
2015-01-29,2548
2015-01-30,-2526
2015-01-31,-1554
2015-02-01,-558
2015-02-02,8194
2015-02-03,700
2015-02-04,-5080
2015-02-05,-1404
2015-02-06,1712
2015-02-07,-2500
2015-02-08,-7674
2015-02-09,2220
2015-02-10,-276
2015-02-11,-3140
2015-02-12,1054
2015-02-13,-1212
2015-02-14,1305
2015-02-15,551
2015-02-16,-3807
2015-02-17,5829
2015-02-18,-3190
2015-02-19,2249
2015-02-20,-4318
2015-02-21,2358
2015-02-22,1653
2015-02-23,1882
2015-02-24,8782
2015-02-25,2738
2015-02-26,3464
2015-02-27,943
2015-02-28,-27509
2015-03-01,3356
2015-03-02,1204
2015-03-03,-737
2015-03-04,-1341
2015-03-05,5970
2015-03-06,1480
2015-03-07,-8503
2015-03-08,3703
2015-03-09,1438
2015-03-10,2056
2015-03-11,649
2015-03-12,4745
2015-03-13,2282
2015-03-14,-1249
2015-03-15,976
2015-03-16,1083
2015-03-17,932
2015-03-18,2613
2015-03-19,-4141
2015-03-20,580
2015-03-21,2994
2015-03-22,3562
2015-03-23,1958
2015-03-24,4486
2015-03-25,3415
2015-03-26,245
2015-03-27,769
2015-03-28,1119
2015-03-29,3349
2015-03-30,1386
2015-04-01,-7476
2015-04-02,-5222
2015-04-03,1778
2015-04-04,7090
2015-04-05,6607
2015-04-06,2613
2015-04-07,-3666
2015-04-08,635
2015-04-09,5106
2015-04-10,2933
2015-04-11,1205
2015-04-12,1443
2015-04-13,1202
2015-04-14,2821
2015-04-15,-1550
2015-04-16,4805
2015-04-17,870
2015-04-18,-4869
2015-04-19,1842
2015-04-20,383
2015-04-21,2239
2015-04-22,3760
2015-04-23,1722
2015-04-24,15803
2015-04-25,802
2015-04-26,3129
2015-04-27,1295
2015-04-28,-2604
2015-04-29,10395
2015-04-30,1904
2015-05-01,2627
2015-05-02,2279
2015-05-03,-1876
2015-05-04,6001
2015-05-05,-1077
2015-05-06,2794
2015-05-07,-4826
2015-05-08,1739
2015-05-09,-2562
2015-05-10,-4223
2015-05-11,1196
2015-05-12,-522
2015-05-13,-1006
2015-05-14,783
2015-05-15,2013
2015-05-16,-3125
2015-05-17,2247
2015-05-18,578
2015-05-19,1120
2015-05-20,2827
2015-05-21,902
2015-05-22,-6004
2015-05-23,1584
2015-05-24,566
2015-05-25,-710
2015-05-26,-3804
2015-05-27,-8544
2015-05-28,-2329
2015-05-29,-941
2015-05-30,-1382
2015-06-01,1007
2015-06-02,-1287
2015-06-03,-4842
2015-06-04,-2213
2015-06-05,720
2015-06-06,5966
2015-06-07,1297
2015-06-08,6218
2015-06-09,1047
2015-06-10,-4868
2015-06-11,1779
2015-06-12,1485
2015-06-13,-793
2015-06-14,1956
2015-06-15,-1501
2015-06-16,1979
2015-06-17,1107
2015-06-18,3402
2015-06-19,3858
2015-06-20,2034
2015-06-21,-1091
2015-06-22,2185
2015-06-23,2029
2015-06-24,11631
2015-06-25,3640
2015-06-26,-911
2015-06-27,3401
2015-06-28,5934
2015-06-29,1963
2015-06-30,-6149
2015-07-01,-2056
2015-07-02,1093
2015-07-03,2099
2015-07-04,1647
2015-07-05,653
